ID,label
0,4
1,0
2,0
3,1
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,2
12,0
13,0
14,0
15,3
16,3
17,2
18,3
19,2
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,3
28,0
29,1
30,3
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,2
40,2
41,0
42,0
43,2
44,0
45,0
46,3
47,0
48,0
49,0
50,2
51,1
52,1
53,2
54,1
55,0
56,0
57,1
58,0
59,1
60,3
61,2
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,3
75,2
76,0
77,0
78,2
79,1
80,0
81,0
82,0
83,0
84,3
85,2
86,0
87,2
88,2
89,1
90,0
91,0
92,3
93,0
94,0
95,2
96,2
97,2
98,0
99,3
100,0
101,3
102,3
103,0
104,2
105,0
106,2
107,1
108,0
109,0
110,3
111,0
112,1
113,3
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,3
123,0
124,0
125,1
126,0
127,3
128,0
129,0
130,3
131,0
132,2
133,1
134,2
135,2
136,0
137,0
138,3
139,0
140,1
141,1
142,3
143,0
144,0
145,2
146,0
147,0
148,2
149,1
150,0
151,2
152,0
153,1
154,0
155,1
156,0
157,0
158,2
159,0
160,3
161,0
162,0
163,0
164,1
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,0
173,2
174,0
175,3
176,0
177,1
178,0
179,2
180,0
181,0
182,0
183,1
